Time,Temp. (Degree Celcius)
26-Jul-2017 06:00 am to 26-Jul-2017 07:00 am,27.59
26-Jul-2017 07:00 am to 26-Jul-2017 08:00 am,28.26
26-Jul-2017 08:00 am to 26-Jul-2017 09:00 am,29.04
26-Jul-2017 09:00 am to 26-Jul-2017 10:00 am,30.37
26-Jul-2017 10:00 am to 26-Jul-2017 11:00 am,31.36
26-Jul-2017 11:00 am to 26-Jul-2017 12:00 pm,31.91
26-Jul-2017 12:00 pm to 26-Jul-2017 01:00 pm,32.09
26-Jul-2017 01:00 pm to 26-Jul-2017 02:00 pm,32.3
26-Jul-2017 02:00 pm to 26-Jul-2017 03:00 pm,32.23
26-Jul-2017 03:00 pm to 26-Jul-2017 04:00 pm,31.53
26-Jul-2017 04:00 pm to 26-Jul-2017 05:00 pm,30.59
26-Jul-2017 05:00 pm to 26-Jul-2017 06:00 pm,30.45
26-Jul-2017 06:00 pm to 26-Jul-2017 07:00 pm,29.95
26-Jul-2017 07:00 pm to 26-Jul-2017 08:00 pm,29.75
26-Jul-2017 08:00 pm to 26-Jul-2017 09:00 pm,29.56
26-Jul-2017 09:00 pm to 26-Jul-2017 10:00 pm,29.84
26-Jul-2017 10:00 pm to 26-Jul-2017 11:00 pm,29.48
26-Jul-2017 11:00 pm to 27-Jul-2017 12:00 am,28.93
27-Jul-2017 12:00 am to 27-Jul-2017 01:00 am,28.91
27-Jul-2017 01:00 am to 27-Jul-2017 02:00 am,28.59
27-Jul-2017 02:00 am to 27-Jul-2017 03:00 am,28.28
27-Jul-2017 03:00 am to 27-Jul-2017 04:00 am,28.02
27-Jul-2017 04:00 am to 27-Jul-2017 05:00 am,27.66
27-Jul-2017 05:00 am to 27-Jul-2017 06:00 am,27.93
27-Jul-2017 06:00 am to 27-Jul-2017 07:00 am,28.29
27-Jul-2017 07:00 am to 27-Jul-2017 08:00 am,29.7
27-Jul-2017 08:00 am to 27-Jul-2017 09:00 am,29.88
27-Jul-2017 09:00 am to 27-Jul-2017 10:00 am,29.16
27-Jul-2017 10:00 am to 27-Jul-2017 11:00 am,30.93
27-Jul-2017 11:00 am to 27-Jul-2017 12:00 pm,34.95
27-Jul-2017 12:00 pm to 27-Jul-2017 01:00 pm,35.04
27-Jul-2017 01:00 pm to 27-Jul-2017 02:00 pm,35.38
27-Jul-2017 02:00 pm to 27-Jul-2017 03:00 pm,36.49
27-Jul-2017 03:00 pm to 27-Jul-2017 04:00 pm,35.84
27-Jul-2017 04:00 pm to 27-Jul-2017 05:00 pm,33.15
27-Jul-2017 05:00 pm to 27-Jul-2017 06:00 pm,32.38
27-Jul-2017 06:00 pm to 27-Jul-2017 07:00 pm,31.98
27-Jul-2017 07:00 pm to 27-Jul-2017 08:00 pm,31.06
27-Jul-2017 08:00 pm to 27-Jul-2017 09:00 pm,30.26
27-Jul-2017 09:00 pm to 27-Jul-2017 10:00 pm,29.82
27-Jul-2017 10:00 pm to 27-Jul-2017 11:00 pm,29.6
27-Jul-2017 11:00 pm to 28-Jul-2017 12:00 am,29.17
28-Jul-2017 12:00 am to 28-Jul-2017 01:00 am,28.55
28-Jul-2017 01:00 am to 28-Jul-2017 02:00 am,28.6
28-Jul-2017 02:00 am to 28-Jul-2017 03:00 am,28.78
28-Jul-2017 03:00 am to 28-Jul-2017 04:00 am,27.99
28-Jul-2017 04:00 am to 28-Jul-2017 05:00 am,27.74
28-Jul-2017 05:00 am to 28-Jul-2017 06:00 am,27.04
28-Jul-2017 06:00 am to 28-Jul-2017 07:00 am,27.98
28-Jul-2017 07:00 am to 28-Jul-2017 08:00 am,30.1
28-Jul-2017 08:00 am to 28-Jul-2017 09:00 am,32.97
28-Jul-2017 09:00 am to 28-Jul-2017 10:00 am,35.31
28-Jul-2017 10:00 am to 28-Jul-2017 11:00 am,34.93
28-Jul-2017 11:00 am to 28-Jul-2017 12:00 pm,35.5
28-Jul-2017 12:00 pm to 28-Jul-2017 01:00 pm,35.85
28-Jul-2017 01:00 pm to 28-Jul-2017 02:00 pm,36.81
28-Jul-2017 02:00 pm to 28-Jul-2017 03:00 pm,35.93
28-Jul-2017 03:00 pm to 28-Jul-2017 04:00 pm,35.26
28-Jul-2017 04:00 pm to 28-Jul-2017 05:00 pm,34.27
28-Jul-2017 05:00 pm to 28-Jul-2017 06:00 pm,33.65
28-Jul-2017 06:00 pm to 28-Jul-2017 07:00 pm,33.99
28-Jul-2017 07:00 pm to 28-Jul-2017 08:00 pm,33.21
28-Jul-2017 08:00 pm to 28-Jul-2017 09:00 pm,32.3
28-Jul-2017 09:00 pm to 28-Jul-2017 10:00 pm,31.98
28-Jul-2017 10:00 pm to 28-Jul-2017 11:00 pm,31.16
28-Jul-2017 11:00 pm to 29-Jul-2017 12:00 am,30.8
29-Jul-2017 12:00 am to 29-Jul-2017 01:00 am,30.38
29-Jul-2017 01:00 am to 29-Jul-2017 02:00 am,30.32
29-Jul-2017 02:00 am to 29-Jul-2017 03:00 am,30.05
29-Jul-2017 03:00 am to 29-Jul-2017 04:00 am,29.03
29-Jul-2017 04:00 am to 29-Jul-2017 05:00 am,28.94
29-Jul-2017 05:00 am to 29-Jul-2017 06:00 am,29.39
29-Jul-2017 06:00 am to 29-Jul-2017 07:00 am,31.27
29-Jul-2017 07:00 am to 29-Jul-2017 08:00 am,32.07
29-Jul-2017 08:00 am to 29-Jul-2017 09:00 am,34.28
29-Jul-2017 09:00 am to 29-Jul-2017 10:00 am,35.43
29-Jul-2017 10:00 am to 29-Jul-2017 11:00 am,35.78
29-Jul-2017 11:00 am to 29-Jul-2017 12:00 pm,36.64
29-Jul-2017 12:00 pm to 29-Jul-2017 01:00 pm,35.48
29-Jul-2017 01:00 pm to 29-Jul-2017 02:00 pm,35.22
29-Jul-2017 02:00 pm to 29-Jul-2017 03:00 pm,34.38
